epoch,accuracy,loss,val_accuracy,val_loss
0,0.3523387908935547,1.3313093185424805,0.41786742210388184,1.2767479419708252
1,0.6388043165206909,1.0111169815063477,0.6714697480201721,0.9246727824211121
2,0.7907556295394897,0.5883335471153259,0.6887608170509338,0.78444904088974
3,0.8461112380027771,0.42120417952537537,0.7146974205970764,0.7299044132232666
4,0.8854137659072876,0.33076709508895874,0.680115282535553,0.7675004601478577
5,0.9034043550491333,0.27737534046173096,0.6945244669914246,0.815352201461792
6,0.9202878475189209,0.23177704215049744,0.6916426420211792,0.8399863839149475
7,0.9391087889671326,0.19218066334724426,0.6829971075057983,0.9155279397964478
8,0.9490727782249451,0.16761402785778046,0.6916426420211792,0.9349032044410706
9,0.9532244801521301,0.14673955738544464,0.6772334575653076,0.9946792721748352
10,0.9618045687675476,0.1296951025724411,0.6772334575653076,1.0270369052886963
11,0.9640188217163086,0.121818907558918,0.6858789920806885,1.0377895832061768
12,0.9670633673667908,0.10495259612798691,0.6887608170509338,1.109970211982727
13,0.9681705236434937,0.09816423058509827,0.7031700015068054,1.1369681358337402
14,0.9739828109741211,0.09160907566547394,0.7002881765365601,1.1771949529647827
15,0.9706615209579468,0.09031617641448975,0.6887608170509338,1.2393580675125122
16,0.9731525182723999,0.07753001153469086,0.6887608170509338,1.2947791814804077
17,0.9748131632804871,0.07794788479804993,0.6887608170509338,1.2488418817520142
18,0.975089967250824,0.07274724543094635,0.6772334575653076,1.2961663007736206
19,0.976473867893219,0.07507677376270294,0.6858789920806885,1.3009617328643799
20,0.976473867893219,0.07048974186182022,0.6829971075057983,1.3663854598999023
21,0.9795184135437012,0.06855330616235733,0.680115282535553,1.3601090908050537
22,0.9795184135437012,0.06397252529859543,0.6858789920806885,1.3350542783737183
23,0.9775809645652771,0.06340477615594864,0.6657060384750366,1.3843573331832886
24,0.9775809645652771,0.06531224399805069,0.6945244669914246,1.3504889011383057
